# Time, Mass, X position, Y position
610,1000000000, -1693.16513305,-797.688607695
610,1000000000, -1516.18008764,365.865332392
610,1000000000, 517.612821398,645.731876163
610,1000000000, -2223.19242641,-2048.40858672
620,1000000000, 815.143267785,-1497.47519133
620,1000000000, -2971.27640392,1876.89688086
620,1000000000, -1288.2091575,-1741.56736855
620,1000000000, -133.499642883,3705.59046496
620,2000000000, 366.773361427,-161.339976054
620,1000000000, -1719.76833548,-809.693289064
620,1000000000, -1540.50216013,375.477193476
620,1000000000, 526.92655676,653.429100646
620,1000000000, -2243.25489948,-2080.93783888
630,1000000000, 829.872732166,-1523.64504708
630,1000000000, -3018.22743582,1907.45085684
630,1000000000, -1311.05011969,-1768.28638909
630,1000000000, -134.952848685,3765.45798176
630,2000000000, 371.083156286,-165.757699329
630,1000000000, -1746.37153173,-821.697972801
630,1000000000, -1564.82422892,385.089047944
630,1000000000, 536.240284915,661.12630395
630,1000000000, -2263.31736281,-2113.46708287
640,1000000000, 844.602190507,-1549.81489451
640,1000000000, -3065.17846429,1938.00482984
640,1000000000, -1333.89108719,-1795.00540183
640,1000000000, -136.406055062,3825.32549544
640,2000000000, 375.392949331,-170.17541701
640,1000000000, -1772.974722,-833.70265891
640,1000000000, -1589.14629412,394.700896011
640,1000000000, 545.554006025,668.823486728
640,1000000000, -2283.37981653,-2145.99631875
650,1000000000, 859.331642987,-1575.9847339
650,1000000000, -3112.12948944,1968.55879996
650,1000000000, -1356.73206003,-1821.72440711
650,1000000000, -137.859261999,3885.19300611
650,2000000000, 379.702740642,-174.593129256
650,1000000000, -1799.57790645,-845.707347393
650,1000000000, -1613.46835585,404.312737878
650,1000000000, 554.867720246,676.520649606
650,1000000000, -2303.44226075,-2178.52554664
660,1000000000, 874.061089777,-1602.1545655
660,1000000000, -3159.08051136,1999.11276728
660,1000000000, -1379.57303821,-1848.44340526
660,1000000000, -139.312469478,3945.06051386
660,2000000000, 384.012530294,-179.010836224
660,1000000000, -1826.18108523,-857.712038248
660,1000000000, -1637.7904142,413.924573742
660,1000000000, 564.181427731,684.217793181
660,1000000000, -2323.50469562,-2211.05476661
670,1000000000, 888.79053104,-1628.32438956
670,1000000000, -3206.03153015,2029.66673188
670,1000000000, -1402.41402174,-1875.16239658
670,1000000000, -140.765677485,4004.92801877
670,2000000000, 388.322318357,-183.428538061
670,1000000000, -1852.7842585,-869.716731466
670,1000000000, -1662.11246927,423.536403785
670,1000000000, 573.495128627,691.914918025
670,1000000000, -2343.56712124,-2243.58397874
680,1000000000, 903.519966934,-1654.49420631
680,1000000000, -3252.98254589,2060.22069385
680,1000000000, -1425.25501061,-1901.88138136
680,1000000000, -142.218886006,4064.79552094
680,2000000000, 392.632104899,-187.846234911
680,1000000000, -1879.38742642,-881.721427041
680,1000000000, -1686.43452116,433.148228185
680,1000000000, 582.808823079,699.612024686
680,1000000000, -2363.62953773,-2276.11318312
690,1000000000, 918.24939761,-1680.66401598
690,1000000000, -3299.93355867,2090.77465325
690,1000000000, -1448.09600483,-1928.6003599
690,1000000000, -143.672095026,4124.66302044
690,2000000000, 396.941889981,-192.26392691
690,1000000000, -1905.99058911,-893.726124959
690,1000000000, -1710.75656995,442.760047111
690,1000000000, 592.122511226,707.309113686
690,1000000000, -2383.69194521,-2308.64237983
700,1000000000, 932.97882321,-1706.83381877
700,1000000000, -3346.88456858,2121.32861016
700,1000000000, -1470.93700441,-1955.31933247
700,1000000000, -145.125304532,4184.53051735
700,2000000000, 401.251673664,-196.681614191
700,1000000000, -1932.59374671,-905.730825206
700,1000000000, -1735.07861574,452.371860724
700,1000000000, 601.436193203,715.006185527
700,1000000000, -2403.75434378,-2341.17156893
710,1000000000, 947.708243874,-1733.00361489
710,1000000000, -3393.83557569,2151.88256464
710,1000000000, -1493.77800933,-1982.03829933
710,1000000000, -146.578514512,4244.39801174
710,2000000000, 405.561456003,-201.099296879
710,1000000000, -1959.19689936,-917.735527767
